CustomerID,Age,Gender,State,DeviceType,PaymentMethod,ProductCategory,TotalSpent(NGN),NumOrders,AvgOrderValue(NGN),DaysSinceLastOrder,NumComplaints,DiscountsUsed,SatisfactionScore,DeliveryDays,NumReturns,LoyaltyYears,Churned
CUS00019,41.0,Male,Kano,Mobile,card,Books,₦500.0,1,500.0,33,2,1,3.6,2,0,2.1,NO
CUS00020,61.0,M,Imo,Tablet,Transfer,food,17536.85,10,1753.68,54,0,3,3.5,2,1,4.6,NO
CUS00021,47.0,F,Kaduna,Desktop,N/A,Fashion,125426.18,18,6968.12,87,0,6,4.8,1,1,-3.8,1
CUS00022,55.0,Female,Abuja,MOBILE,POS,Fashion,135614.95,8,16951.87,87,0,4,5.0,4,1,1.5 years,N
CUS00023,19.0,Female,Anambra,Mobile,card,Fashion,61933.5,1,61933.5,44,0,4,2.6,2,1,3.2,YES
CUS00024,38.0,Male,Lagos,Desktop,Transfer,Beauty,115744.56,4,28936.14,49,0,2,3.6,5,0,6.5,NO
CUS00025,50.0,Female,Enugu,Tablet,ussd,Fashion,147561.49,5,29512.3,78,0,4,4.2,1,0,2.2,No
CUS00026,29.0,F,Abuja,desktop,Card,Food,165430.59,2,82715.3,1,3,0,5.0,2,1,1.1,0
CUS00027,39.0,female,Delta,mobile,Cash,Home,73914.91,12,6159.58,35,1,2,4.2,7,3,2.3,1
CUS00028,61.0,Male,Borno,desktop,Transfer,Beauty,500.0,12,41.67,85,0,4,3.8,2,0,2.4,No
CUS00029,42.0,M,Kaduna,tablet,POS,Food,48060.45,2,24030.22,74,0,4,4.2,3-4 days,1,1.2,no
CUS00030,44.0,Female,Borno,Phone,Card,Food,65793.81,11,5981.26,56,1,4,4.2,1,0,2.7,N
CUS00031,59.0,FEMALE,Abuja,Desktop,card,Beauty,73347.75,15,4889.85,1,2,3,26.0,1,0,0.1 yrs,No
CUS00032,45.0,female,Abuja,mobile,ussd,Electronics,76546.33,17,4502.73,43,1,2,3.7,7,0,1.0,No
CUS00033,33.0,F,Delta,MOBILE,Cash,Electronics,NGN135350.26,22,6152.28,27,2,4,5.0,4,0,3.1,N
CUS00034,32.0,Female,Anambra,Laptop,Card,electronics,NGN142349.28,3,47449.76,54,1,1,3.3,4,2,0.0,Y
CUS00035,64.0,m,Borno,Phone,nan,Electronics,77274.69,22,3512.49,20,3,1,3.6,1,0,3.4 years,Yes
CUS00036,61.0,Male,Abuja,Desktop,card,Home,134431.82,6,22405.3,14,0,3,3.3,4,0,0.0,NO
CUS00037,20.0,Male,Enugu,Mobile,transfer,FASHION,101094.76,5,20218.95,1,2,3,1.2,6,0,0.0,Yes
CUS00038,54.0,Female,Kano,Tablet,Transfer,Fashion,87902.77,9,9766.97,81,2,0,3.5,6,0,1.3,True
CUS00039,24.0,Male,Anambra,desktop,Cash,Food,125794.49,5,25158.9,33,0,3,3.8,5-6 days,2,2.4,No
CUS00040,38.0,f,Enugu,Tablet,USSD,Beauty,88251.34,9,9805.7,49,0,4,3.0 stars,1,1,4.0,no
CUS00041,26.0,female,Anambra,Tablet,Card,electronics,177601.5,100,177601.5,44,0,2,2.3 stars,4,0,2.1,no
CUS00042,56.0,Female,Enugu,MOBILE,Card,food,20271.5,6,3378.58,12,0,7,2.6,5,0,-1.6,N
CUS00043,35.0,F,Imo,Desktop,Bank Transfer,Home,61817.31,14,4415.52,7,0,1,43.0,1,0,2.9,no
CUS00044,21.0,f,Kaduna,Phone,Transfer,Electronics,79306.65,7,11329.52,14,1,2,5.0,1,0,0.7,No
CUS00045,42.0,FEMALE,Enugu,Desktop,Transfer,Home,104775.37,8,13096.92,23,2,2,4.9,5,1,2.2,0
CUS00046,31.0,male,Oyo,Desktop,card,Food,142058.22,10,14205.82,55,2,2,2.2,5,2,0.2,yes
CUS00047,26.0,m,Enugu,Tablet,Debit Card,Food,83902.06,13,6454.0,21,0,2,4.4,1,0,2.1 years,No
CUS00048,43.0,f,Lagos,tablet,Card,Electronics,20999.67,1,20999.67,97,0,0,2.8,5,0,1.8,no
CUS00049,19.0,female,Lagos,Mobile,card,Fashion,122913.13,10,12291.31,75,2,1,2.9,4,0,0.8,YES
CUS00050,37.0,Male,Bauchi,Mobile,Card,Books,118973.14,6,19828.86,69,1,2,3.0,5,1,2.2,YES
CUS00051,45.0,M,Oyo,Laptop,Card,Food,500.0,8,62.5,41,1,5,4.2,2,1,2.2,No
CUS00052,64.0,MALE,Oyo,Mobile,Card,Fashion,84828.81,13,6525.29,90,1,7,4.5,5,1,3.8,no
CUS00053,24.0,Female,Kano,mobile,Bank Transfer,Food,13443.62,2,6721.81,38,0,5,3.4,5,1,0.0,no
CUS00054,61.0,MALE,Oyo,mobile,Card,electronics,55090.7,2,27545.35,44,1,1,3.4,3,0,1.9,False
CUS00055,25.0,Male,Kano,Tablet,Card,Home,44373.6,1,44373.6,50,0,1,4.0,4 days,2,0.9,Y
CUS00056,64.0,Male,Bauchi,mobile,USSD,Fashion,121416.91,5,24283.38,66,1,2,4.1,2-3 days,1,3.3,N
CUS00057,52.0,Female,Bauchi,Mobile,Bank Transfer,Electronics,90257.36,14,6446.95,64,0,6,4.7,7,1,3.1,no
CUS00058,31.0,Male,Kaduna,mobile,Transfer,Fashion,27148.4,7,3878.34,30,0,2,2.2,3,2,2.8,1
CUS00059,34.0,f,Lagos,Desktop,USSD,FASHION,124602.97,1,124602.97,29,0,0,3.5,2,1,0.9,NO
CUS00060,53.0,MALE,Enugu,desktop,Card,Beauty,20478.74,5,4095.75,64,0,1,24.0,2,2,,yes
CUS00061,57.0,MALE,Enugu,Mobile,USSD,Beauty,99855.12,1,99855.12,66,0,4,3.4,4,1,0.0,0
CUS00062,-21.0,male,Delta,mobile,card,Beauty,48369.52,2,24184.76,33,0,4,3.3,5,0,0.0,N
CUS00063,190.0,Female,Delta,Mobile,card,Food,68544.53,9,7616.06,1,0,2,3.5,1,0,0.1,No
CUS00064,23.0,F,Rivers,Mobile,Transfer,Auto,107692.18,2,53846.09,38,1,4,2.7,7,0,1.9,YES
CUS00065,59.0,F,Anambra,Mobile,Transfer,Beauty,108465.22,13,8343.48,63,0,0,2.0,4 days,0,3.0,Yes
CUS00066,21.0,F,Kaduna,Mobile,Card,Electronics,₦145163.61,7,20737.66,99,0,3,1.4 stars,4,2,0.0,Y
CUS00067,46.0,Female,Rivers,MOBILE,USSD,Electronics,81298.58,8,10162.32,9,0,4,3.4,3,1,4.0,N
CUS00068,35.0,F,Rivers,Mobile,Card,Beauty,₦98790.29,6,16465.05,32,1,1,3.1,4,1,2.2,yes
CUS00069,43.0,M,Abuja,PC,Debit Card,FASHION,65301.82,11,5936.53,33,0,1,2.8,3,1,0.0,No
CUS00070,61.0,f,Abuja,Laptop,N/A,Fashion,93189.54,11,8471.78,85,0,0,4.8,6,3,2.2,Y
CUS00071,51.0,FEMALE,Borno,mobile,nan,electronics,,9,11641.87,43,0,6,2.6 stars,3,0,3.6,YES
CUS00072,27.0,M,Rivers,Mobile,Bank Transfer,Books,80576.06,10,8057.61,17,1,1,4.9,5,0,2.9,No
CUS00073,53.0,male,Oyo,Desktop,transfer,Fashion,3831.23,6,638.54,61,0,3,5.0,3,0,3.6,No
CUS00074,31.0,female,Anambra,MOBILE,ussd,Electronics,99916.19,10,9991.62,32,1,4,15.0,4 days,0,0.0,Yes
CUS00075,48.0,Male,Kaduna,Desktop,Transfer,Electronics,101405.27,6,16900.88,8,0,6,3.6/5,2,1,1.4,0
CUS00076,32.0,FEMALE,Rivers,Mobile,transfer,Home,54392.19,8,6799.02,18,0,2,3.1,6,0,0.6,0
CUS00077,25.0,FEMALE,Imo,mobile,Cash,Fashion,27202.58,6,4533.76,97,0,1,1.0,2,0,4.6,yes
CUS00078,31.0,M,Enugu,MOBILE,Cash,Food,151414.56,5,30282.91,56,0,3,2.1,3,1,3.0,No
CUS00079,40.0,Female,Anambra,MOBILE,Debit Card,Beauty,107115.05,4,26778.76,48,0,5,4.3,3,0,6.3,0
CUS00080,57.0,Female,Abuja,Mobile,Transfer,Home,74691.35,10,7469.14,37,0,2,5.0,3,1,1.3,NO
CUS00081,38.0,M,Borno,desktop,Transfer,Electronics,33833.52,14,2416.68,53,3,1,4.4,5,2,0.9,NO
CUS00082,33.0,Male,Enugu,Mobile,POS,Food,48018.33,13,3693.72,53,0,0,3.8,3,1,1.8,N
CUS00083,62.0,FEMALE,Abuja,Mobile,Card,Food,143616.57,1,143616.57,53,3,0,3.5,6,1,4.1,Yes
CUS00084,35.0,Male,Abuja,Phone,Cash,Beauty,9119479.0,14,6513.91,48,0,4,5.0,2,2,1.5,no
CUS00085,64.0,Female,Anambra,Mobile,POS,Auto,60223.58,6,10037.26,71,1,2,5.0,4,1,2.2,N
CUS00086,41.0,m,Abuja,Mobile,transfer,Fashion,107936.02,11,9812.37,45,0,1,2.9,2,0,,0
CUS00087,43.0,female,Imo,Mobile,card,Auto,48352.08,3,16117.36,15,0,1,1.5,4,0,2.1,N
CUS00088,42.0,Female,Bauchi,Phone,Transfer,Home,152537.94,8,19067.24,26,0,3,1.4,3,0,1.0,0
CUS00089,62.0,Female,Borno,MOBILE,Transfer,Beauty,₦145876.02,9,16208.45,1,0,2,4.8,3,0,1.8,0
CUS00090,58.0,Male,Lagos,mobile,Bank Transfer,Home,64004.17,1,64004.17,105,0,2,3.5,6,1,1.7,Y
CUS00091,46.0,male,Bauchi,tablet,card,Food,56709.84,11,5155.44,70,0,5,3.7,2,1,2.0,no
CUS00092,32.0,Male,Lagos,Mobile,card,Electronics,500.0,14,35.71,20,3,6,1.7,5,1,3.4,True
CUS00093,62.0,F,Delta,Tablet,Card,Home,18328.87,7,2618.41,36,0,0,2.7,2,0,4.6 years,0
CUS00094,18.0,f,Delta,Desktop,Card,Beauty,24723.86,14,1765.99,25,1,3,3.2,4,2,0.7,Yes
CUS00095,42.0,Male,Abuja,Mobile,N/A,Sports,91083.57,7,13011.94,91,1,1,3.7,1,0,1.4,1
CUS00096,24.0,FEMALE,Kaduna,Tablet,USSD,Fashion,70319.48,12,5859.96,2,0,2,3.1,2,0,0.8,0
CUS00097,26.0,f,Kaduna,PC,transfer,FASHION,24459.9,1,24459.9,48,2,3,2.5,3,0,2.3,False
CUS00098,41.0,Male,Lagos,Mobile,Card,Beauty,72347.62,20,3617.38,41,0,2,2.7,,3,1.2,Y
CUS00099,18.0,FEMALE,Enugu,Mobile,transfer,Electronics,107740.17,15,7182.68,69,0,3,4.7,-4,0,2.4,No
CUS00100,61.0,F,Anambra,Mobile,N/A,Food,108752.77,6,18125.46,41,1,4,3.7,7,0,3.7,Yes
CUS00101,-25.0,m,Abuja,Mobile,card,Books,500.0,1,500.0,1,0,3,4.1,4,0,0.0,No
CUS00102,41.0,F,Anambra,PC,Card,Books,79228.14,9,8803.13,37,0,1,2.6,3,0,2.7,0
CUS00103,28.0,male,Bauchi,Tablet,card,Food,22749.67,1,22749.67,15,2,1,1.0,7,0,1.3,1
CUS00104,34.0,F,Kaduna,Tablet,Debit Card,electronics,125577.79,10,12557.78,47,0,0,30.0,4,1,2.7,NO
CUS00105,25.0,FEMALE,Oyo,tablet,USSD,Fashion,120286.59,10,12028.66,88,2,1,2.6,2,2,,True
CUS00106,52.0,female,Borno,Mobile,Bank Transfer,Food,44588.77,3,14862.92,1,2,6,3.8,4,1,-3.8,N
CUS00107,52.0,F,Bauchi,Tablet,transfer,electronics,50527.97,13,3886.77,20,0,1,5.0,3,0,3.4,No
CUS00108,50.0,FEMALE,Borno,Desktop,POS,electronics,64242.98,12,5353.58,28,2,0,4.2,1,0,2.9,No
CUS00109,22.0,Female,Imo,mobile,transfer,Home,500.0,12,41.67,33,0,3,5.0,5,0,3.2,NO
CUS00110,59.0,Male,Bauchi,Laptop,Card,electronics,100118.57,8,12514.82,67,4,2,4.1,6,1,0.9,1
CUS00111,56.0,Male,Lagos,tablet,Transfer,Electronics,72722.0,1,72722.0,39,0,2,2.9,7,2,1.1,NO
CUS00112,58.0 years,Female,Imo,Desktop,Transfer,electronics,128657.88,12,10721.49,57,2,5,3.8,4,0,,YES
CUS00113,450.0,Female,Kano,MOBILE,POS,Fashion,35571.59,6,5928.6,26,2,4,5.0,3,0,0.8,0
CUS00114,24.0,m,Bauchi,Mobile,Debit Card,Fashion,57139.47,1,57139.47,51,1,1,5.0,5-6 days,2,4.2 yrs,no
CUS00115,26.0,Male,Imo,Mobile,transfer,Fashion,17206.36,14,1229.03,68,0,2,2.9,5,1,1.5,Y
CUS00116,25.0,male,Abuja,Mobile,Transfer,Food,39806.92,18,2211.5,23,0,1,3.8,7,1,2.8,False
CUS00117,29.0,Male,Borno,Desktop,Transfer,Fashion,31810.81,7,4544.4,68,0,4,2.1,3,2,5.1,yes
CUS00118,51.0,FEMALE,Rivers,mobile,Debit Card,Fashion,129818.82,18,7212.16,46,1,2,4.3,3,1,0.9,no
CUS00119,,f,Rivers,mobile,Cash,Electronics,53578.22,8,6697.28,76,1,0,5.0,2,0,2.1,False
CUS00120,400.0,M,Abuja,PC,Transfer,Fashion,90587.91,6,15097.98,38,1,2,3.5,5,1,3.6 years,yes
CUS00121,41.0,FEMALE,Kano,mobile,transfer,Beauty,67865.65,4,16966.41,56,0,0,2.8/5,1,0,3.4,0
CUS00122,54.0,Male,Kano,mobile,Card,Food,27874.06,16,1742.13,43,0,7,3.9 stars,5,1,1.5,no
CUS00123,52.0,MALE,Lagos,Mobile,Transfer,Fashion,77426.48,4,19356.62,42,0,1,39.0,5,0,1.2,no
CUS00124,61.0,Female,Kaduna,Mobile,Cash,Home,111959.65,11,10178.15,52,1,2,3.6,5 days,0,1.7,N
CUS00125,57.0,m,Anambra,mobile,Card,electronics,30650.83,5,6130.17,61,1,3,3.7/5,4,0,4.2,no
CUS00126,39.0,Male,Borno,Desktop,nan,Books,121410.08,5,24282.02,7,0,2,3.3,7,0,1.6 yrs,1
CUS00127,44.0,F,Kano,MOBILE,Transfer,Fashion,46762.56,13,3597.12,88,1,2,4.5,5,0,2.1,NO
CUS00128,-52.0,female,Oyo,Mobile,Card,Home,63265.72,6,10544.29,1,0,3,4.2 stars,2,2,1.4,No
CUS00129,18.0,Female,Lagos,Mobile,Transfer,Fashion,108880.74,5,21776.15,24,1,6,2.5/5,2,0,3.1,True
CUS00130,52.0,Male,Delta,Desktop,Debit Card,Electronics,55145.37,13,4241.95,42,1,4,2.5,2,1,2.2,True
CUS00131,54.0,Male,Enugu,Mobile,USSD,Fashion,86690.87,15,5779.39,57,1,5,3.2,5,0,0.5,1
CUS00132,64.0,Female,Delta,Mobile,card,Auto,70838.91,11,6439.9,92,0,0,4.2,1,0,0.5,No
CUS00133,31.0,F,Lagos,desktop,Card,Fashion,90821.56,4,22705.39,1,3,3,3.6,6 days,1,0.0,yes
CUS00134,20.0,Male,Borno,Mobile,Card,Electronics,500.0,5,100.0,29,1,3,2.9,6,0,0.8,N
CUS00135,18.0,Female,Imo,mobile,USSD,Electronics,2664.32,8,333.04,1,0,3,3.8,2,0,3.2,False
CUS00136,22.0,Male,Bauchi,Mobile,Bank Transfer,electronics,112718.52,9,12524.28,45,1,5,3.2,3,1,4.0,yes
CUS00137,43.0,MALE,Anambra,Mobile,POS,Sports,₦131673.16,3,43891.05,53,2,2,4.4,4,2,3.0,N
CUS00138,31.0,Male,Enugu,Desktop,Card,Fashion,44028.1,11,4002.55,92,0,2,3.8,5,0,2.8,0
CUS00139,56.0,Female,Delta,MOBILE,card,Beauty,74018.72,8,9252.34,48,2,4,3.2,7,0,1.8,Y
CUS00140,44.0,Male,Enugu,Desktop,POS,Beauty,NGN98262.37,1,98262.37,76,1,0,3.7,1,1,3.2,0
CUS00141,26.0,M,Oyo,tablet,USSD,Home,116194.79,3,38731.6,62,0,2,4.8,3,1,2.4,N
CUS00142,32.0,MALE,Oyo,Mobile,Bank Transfer,Fashion,₦500.0,5,100.0,31,1,2,2.9,3,1,4.7,1
CUS00143,32.0,Female,Imo,tablet,Card,electronics,4512819.0,7,6446.88,2,0,1,3.9,1,0,1.9,NO
CUS00144,43.0,Male,Oyo,Mobile,N/A,Fashion,₦70033.93,17,4119.64,53,1,5,3.4,3,0,4.0,1
CUS00145,59.0,female,Lagos,desktop,Debit Card,Home,116641.31,9,12960.15,1,2,0,3.9,4,0,3.3,no
CUS00146,30.0,female,Anambra,mobile,N/A,Electronics,197429.37,3,65809.79,83,1,2,2.8,3,1,3.1,YES
CUS00147,49.0,Male,Borno,PC,transfer,Food,74739.74,9,8304.42,40,3,3,3.6,1,1,0.0,no
CUS00148,56.0,female,Imo,Desktop,USSD,Food,2168601.0,6,3614.33,80,0,5,4.6,9-10 days,1,3.4,N
CUS00149,49.0,m,Lagos,Mobile,N/A,Beauty,103102.06,9,11455.78,30,1,2,2.6,4,1,1.8,1
CUS00150,21.0,Male,Rivers,Mobile,Transfer,Electronics,144444.81,10,14444.48,53,2,4,2.2,4,0,1.3,YES
CUS00151,47.0,female,Bauchi,MOBILE,Transfer,Books,89860.64,14,6418.62,51,0,4,2.2,1,2,0.0,Y
CUS00152,54.0,female,Bauchi,mobile,ussd,Fashion,44200.82,7,6314.4,43,2,3,2.3,4,2,2.0,Yes
CUS00153,40.0,M,Oyo,tablet,Debit Card,Home,128109.73,16,8006.86,32,0,0,4.1,3,0,2.1,0
CUS00154,56.0,Male,Rivers,Mobile,POS,Auto,114859.55,12,9571.63,56,0,0,2.1,1,1,0.0,YES
CUS00155,62.0,Male,Kano,Desktop,Transfer,Beauty,38826.36,4,9706.59,17,0,3,3.2,1,0,0.0,N
CUS00156,32.0,FEMALE,Kano,Mobile,Debit Card,Home,102164.15,19,5377.06,8,1,1,4.1,5,1,2.7,NO
CUS00157,60.0,f,Borno,Laptop,ussd,Home,129876.95,9,14430.77,82,1,4,3.9,7,2,3.3,YES
CUS00158,46.0,male,Oyo,desktop,Card,Food,138185.05,3,46061.68,66,2,4,3.1,4,3,2.3,True
CUS00159,53.0,M,Delta,PC,USSD,Auto,82009.8,16,5125.61,46,2,2,3.7 stars,6,1,3.7,YES
CUS00160,30.0,male,Lagos,Mobile,Transfer,Fashion,68886.42,18,3827.02,94,0,0,3.6,3,1,1.9,No
CUS00161,49.0,F,Oyo,mobile,Transfer,Beauty,140227.32,7,20032.47,36,0,4,3.3,3,0,1.9,0
CUS00162,24.0,Female,Kaduna,desktop,nan,Home,30542.78,5,6108.56,84,1,0,3.3,6,1,0.6,1
CUS00163,39.0,Male,Enugu,Desktop,transfer,Food,,7,14962.3,50,2,1,5.0,7,2,0.0,0
CUS00164,45.0,MALE,Borno,MOBILE,ussd,Fashion,23348.8,11,2122.62,14,2,1,4.3,6,0,4.8,NO
CUS00165,19.0,Female,Bauchi,PC,nan,Food,132941.93,14,9495.85,100,2,2,5.0,1,0,3.7,0
CUS00166,,MALE,Kano,Phone,USSD,Auto,73387.95,10,7338.8,74,0,5,3.0/5 stars,3,0,0.0,No
CUS00167,62.0,Female,Abuja,desktop,Bank Transfer,FASHION,142086.25,8,17760.78,41,0,2,3.4,4,1,2.2,False
CUS00168,23.0,Male,Kano,Mobile,USSD,Beauty,107113.57,15,7140.9,66,0,2,2.2,3,1,1.8 yrs,Yes
CUS00169,45.0,Male,Borno,Mobile,Bank Transfer,Home,29955.09,6,4992.52,32,0,0,2.7/5,4,0,1.6,False
CUS00170,45.0,M,Bauchi,Laptop,Transfer,FASHION,149108.25,13,11469.87,69,0,4,5.0,5,2,1.4,1
CUS00171,61.0,m,Borno,Mobile,N/A,Electronics,,6,25801.01,1,1,1,3.0,6,0,2.6,Y
CUS00172,61.0,Male,Enugu,desktop,Transfer,Fashion,NGN124702.89,10,12470.29,14,0,3,50.0,7,0,3.2,no
CUS00173,37.0,FEMALE,Bauchi,desktop,Transfer,Home,-50728.55,7,7246.94,74,0,2,2.3,3,0,2.6,False
CUS00174,47.0,F,Abuja,mobile,Debit Card,Auto,71229.37,7,10175.62,37,0,4,2.4,1,0,1.8,No
CUS00175,28.0,MALE,Oyo,Laptop,USSD,electronics,91544.22,6,15257.37,51,2,2,3.2,4,1,1.8,Yes
CUS00176,45.0,Female,Rivers,Desktop,transfer,Food,53333.03,14,3809.5,4,1,2,34.0,7 days,2,3.4,Y
CUS00177,42.0,MALE,Abuja,Desktop,USSD,Electronics,161155.6,4,40288.9,100,0,3,4.4,3,0,2.7,no
CUS00178,56.0,female,Bauchi,Mobile,ussd,Food,91494.69,4,22873.67,80,0,7,4.0,5,1,2.1,False
CUS00179,50.0,Female,Bauchi,Desktop,Transfer,Fashion,500.0,18,27.78,38,0,4,3.1,5,1,1.9,False
CUS00180,18.0,Male,Kaduna,Mobile,Card,Fashion,100271.01,12,8355.92,32,2,2,3.4,4,1,2.5,Yes
CUS00181,44.0,FEMALE,Imo,Desktop,Transfer,Books,69332.92,1,69332.92,75,1,3,3.2 stars,4,1,1.3,True
CUS00182,30.0 years,f,Kaduna,MOBILE,Cash,Electronics,81628.3,5,16325.66,104,0,1,2.6,2,1,3.2,yes
CUS00183,58.0,Male,Anambra,PC,Transfer,Auto,-68412.13,1,68412.13,73,2,1,2.6,1,1,0.4,True
CUS00184,20.0,female,Kaduna,Mobile,USSD,Food,121317.09,3,40439.03,110,2,1,4.5,1,1,1.4,False
CUS00185,56.0,m,Lagos,Desktop,USSD,Beauty,135385.95,1,135385.95,17,1,1,1.7,3,0,2.9,no
CUS00186,23.0,FEMALE,Rivers,PC,Card,Electronics,97737.39,7,13962.48,20,3,4,5.0,6,1,0.3,1
CUS00187,25.0,f,Enugu,Mobile,card,Fashion,69731.0,2,34865.5,9,1,0,3.2,3-4 days,0,0.0,True
CUS00188,44.0,female,Abuja,Mobile,POS,Electronics,83139.83,8,10392.48,58,0,5,2.7,2,0,2.1,N
CUS00189,26.0,M,Bauchi,Mobile,Transfer,food,85881.98,1,85881.98,50,1,4,4.2,2,0,0.0,No
CUS00190,54.0,Female,Anambra,mobile,card,Auto,48890.65,8,6111.33,40,1,3,5.0,5,1,0.1,NO
CUS00191,50.0,Female,Anambra,Mobile,transfer,Food,111051.79,5,22210.36,69,0,3,4.6,6,1,3.1,No
CUS00192,59.0,female,Enugu,Laptop,USSD,Fashion,105701.9,15,7046.79,81,1,1,4.0 stars,6,1,1.7 yrs,Y
CUS00193,61.0,female,Rivers,Desktop,ussd,FASHION,154319.86,15,10287.99,1,0,3,4.6,5,0,3.9,No
CUS00194,41.0,Female,Abuja,mobile,USSD,Fashion,141490.74,11,12862.79,27,2,5,1.8,1,0,0.2 yrs,1
CUS00195,32.0,FEMALE,Kano,Mobile,card,Fashion,54144.63,6,9024.1,69,0,1,3.0,3,1,1.9,1
CUS00196,49.0,female,Borno,Tablet,Card,Beauty,121913.43,17,7171.38,30,0,0,2.6,7,1,2.6,Yes
CUS00197,49.0,F,Kaduna,desktop,transfer,food,42207.1,1,42207.1,21,0,4,4.7,6,1,0.2 yrs,False
CUS00198,41.0,M,Borno,tablet,transfer,Electronics,116316.94,1,116316.94,75,1,3,3.1,1 days,0,3.5,No
CUS00199,58.0,F,Borno,tablet,Card,Fashion,61752.36,7,8821.77,6,1,0,4.3,3,0,2.8,N
CUS00200,29.0,Male,Oyo,mobile,USSD,FASHION,38953.6,19,2050.19,35,0,1,4.0,4,1,0.0,False
CUS00201,56.0,Female,Borno,PC,nan,Fashion,97602.04,6,16267.01,54,0,1,2.6,2 days,0,1.9,yes
CUS00202,19.0,Male,Anambra,MOBILE,USSD,Electronics,500.0,7,71.43,27,0,1,2.9,1,1,2.6,no
CUS00203,20.0,Male,Kaduna,tablet,card,Beauty,6206.1,1,6206.1,68,0,2,4.8,4,0,1.1,0
CUS00204,54.0,M,Kaduna,Mobile,POS,electronics,77012.87,12,6417.74,27,2,2,2.7,2,0,0.0,NO
CUS00205,34.0,F,Lagos,Mobile,ussd,Food,88709.88,12,7392.49,87,0,1,3.6,2,0,2.4,NO
CUS00206,19.0,Male,Rivers,Mobile,card,N/A,68380.66,11,6216.42,41,2,1,2.7,3,0,5.3,Y
CUS00207,19.0,female,Oyo,desktop,Debit Card,Home,13925.37,4,3481.34,65,3,2,3.2,3,1,1.4 yrs,1
CUS00208,45.0,Female,Borno,Desktop,Bank Transfer,Electronics,48194.87,4,12048.72,67,0,3,3.5,3,0,4.4,no
CUS00209,40.0,m,Imo,Desktop,Cash,N/A,102604.42,1,102604.42,26,0,2,2.7,2,1,0.9,0
CUS00210,54.0,f,Kano,Phone,Cash,Food,111180.18,8,13897.52,1,4,5,2.5,3-4 days,1,2.3,yes
CUS00211,49.0,Male,Bauchi,Phone,USSD,Fashion,84269.96,2,42134.98,55,3,4,3.8,1,0,3.2,False
CUS00212,50.0,M,Lagos,PC,N/A,Beauty,137057.52,2,68528.76,47,0,0,2.7,-4,0,2.0,Y
CUS00213,18.0,Male,Kaduna,Desktop,transfer,Fashion,102882.87,5,20576.57,61,1,4,2.7/5,1,3,1.6,yes
CUS00214,36.0,F,Kaduna,desktop,Card,Electronics,51364.5,5,10272.9,38,1,4,2.6,3,0,3.1,no
CUS00215,19.0,male,Delta,Mobile,Bank Transfer,Electronics,72377.41,5,14475.48,32,2,2,3.4,5,1,4.8,yes
