,CustomerID,Age,Gender,State,DeviceType,PaymentMethod,ProductCategory,TotalSpent(NGN),NumOrders,AvgOrderValue(NGN),DaysSinceLastOrder,NumComplaints,DiscountsUsed,SatisfactionScore,DeliveryDays,NumReturns,LoyaltyYears,Churned,SatisfactionIndex,LoyaltyIndex
51,CUS00052,64,Male,Oyo,Mobile,Debit card,Fashion,84828.81,13,6525.29,90,1,7,4.5,5,1,3.8,No,0.75,17.1
52,CUS00053,24,Female,Kano,Mobile,Bank transfer,Food,13443.62,2,6721.81,38,0,5,3.4,5,1,0.0,No,0.68,0.0
53,CUS00054,61,Male,Oyo,Mobile,Debit card,Electronics,55090.7,2,27545.35,44,1,1,3.4,3,0,1.9,No,0.85,6.46
54,CUS00055,25,Male,Kano,Tablet,Debit card,Home,44373.6,1,44373.6,50,0,1,4.0,4,2,0.9,Yes,1.0,3.6
55,CUS00056,64,Male,Bauchi,Mobile,USSD,Fashion,121416.91,5,24283.38,66,1,2,4.1,3,1,3.3,No,1.025,13.53
56,CUS00057,52,Female,Bauchi,Mobile,Bank transfer,Electronics,90257.36,14,6446.95,64,0,6,4.7,7,1,3.1,No,0.671,14.57
57,CUS00058,31,Male,Kaduna,Mobile,Bank transfer,Fashion,27148.4,7,3878.34,30,0,2,2.2,3,2,2.8,Yes,0.733,6.16
58,CUS00059,34,Female,Lagos,Desktop,USSD,Fashion,124602.97,1,124602.97,29,0,0,3.5,2,1,0.9,No,1.75,3.15
59,CUS00060,53,Male,Enugu,Desktop,Debit card,Beauty,20478.74,5,4095.75,64,0,1,5.0,2,2,2.1,Yes,2.5,10.5
60,CUS00061,57,Male,Enugu,Mobile,USSD,Beauty,99855.12,1,99855.12,66,0,4,3.4,4,1,0.0,No,0.85,0.0
61,CUS00062,21,Male,Delta,Mobile,Debit card,Beauty,48369.52,2,24184.76,33,0,4,3.3,5,0,0.0,No,0.66,0.0
62,CUS00063,89,Female,Delta,Mobile,Debit card,Food,68544.53,9,7616.06,1,0,2,3.5,1,0,0.1,No,3.5,0.35
63,CUS00064,23,Female,Rivers,Mobile,Bank transfer,Auto,107692.18,2,53846.09,38,1,4,2.7,7,0,1.9,Yes,0.338,5.13
64,CUS00065,59,Female,Anambra,Mobile,Bank transfer,Beauty,108465.22,13,8343.48,63,0,0,2.0,4,0,3.0,Yes,0.5,6.0
65,CUS00066,21,Female,Kaduna,Mobile,Debit card,Electronics,145163.61,7,20737.66,99,0,3,1.4,4,2,0.0,Yes,0.35,0.0
66,CUS00067,46,Female,Rivers,Mobile,USSD,Electronics,81298.58,8,10162.32,9,0,4,3.4,3,1,4.0,No,1.133,13.6
67,CUS00068,35,Female,Rivers,Mobile,Debit card,Beauty,98790.29,6,16465.05,32,1,1,3.1,4,1,2.2,Yes,0.62,6.82
68,CUS00069,43,Male,Abuja,Pc,Debit card,Fashion,65301.82,11,5936.53,33,0,1,2.8,3,1,0.0,No,0.933,0.0
69,CUS00070,61,Female,Abuja,Laptop,Debit card,Fashion,93189.54,11,8471.78,85,0,0,4.8,6,3,2.2,Yes,0.8,10.56
70,CUS00071,51,Female,Borno,Mobile,Bank transfer,Electronics,80315.08,9,8923.9,43,0,6,2.6,3,0,3.6,Yes,0.867,9.36
71,CUS00072,27,Male,Rivers,Mobile,Bank transfer,Books,80576.06,10,8057.61,17,1,1,4.9,5,0,2.9,No,0.817,14.21
72,CUS00073,53,Male,Oyo,Desktop,Bank transfer,Fashion,3831.23,6,638.54,61,0,3,5.0,3,0,3.6,No,1.667,18.0
73,CUS00074,31,Female,Anambra,Mobile,USSD,Electronics,99916.19,10,9991.62,32,1,4,5.0,4,0,0.0,Yes,1.0,0.0
74,CUS00075,48,Male,Kaduna,Desktop,Bank transfer,Electronics,101405.27,6,16900.88,8,0,6,3.6,2,1,1.4,No,1.8,5.04
75,CUS00076,32,Female,Rivers,Mobile,Bank transfer,Home,54392.19,8,6799.02,18,0,2,3.1,6,0,0.6,No,0.517,1.86
76,CUS00077,25,Female,Imo,Mobile,Cash,Fashion,27202.58,6,4533.76,97,0,1,1.0,2,0,4.6,Yes,0.5,4.6
77,CUS00078,31,Male,Enugu,Mobile,Cash,Food,151414.56,5,30282.91,56,0,3,2.1,3,1,3.0,No,0.7,6.3
78,CUS00079,40,Female,Anambra,Mobile,Debit card,Beauty,107115.05,4,26778.76,48,0,5,4.3,3,0,6.3,No,1.433,27.09
79,CUS00080,57,Female,Abuja,Mobile,Bank transfer,Home,74691.35,10,7469.14,37,0,2,5.0,3,1,1.3,No,1.667,6.5
80,CUS00081,38,Male,Borno,Desktop,Bank transfer,Electronics,33833.52,14,2416.68,53,3,1,4.4,5,2,0.9,No,0.55,3.96
81,CUS00082,33,Male,Enugu,Mobile,POS,Food,48018.33,13,3693.72,53,0,0,3.8,3,1,1.8,No,1.267,6.84
82,CUS00083,62,Female,Abuja,Mobile,Debit card,Food,143616.57,1,143616.57,53,3,0,3.5,6,1,4.1,Yes,0.389,14.35
83,CUS00084,35,Male,Abuja,Phone,Cash,Beauty,217428.06,14,15530.58,48,0,4,5.0,2,2,1.5,No,2.5,7.5
84,CUS00085,64,Female,Anambra,Mobile,POS,Auto,60223.58,6,10037.26,71,1,2,5.0,4,1,2.2,No,1.0,11.0
85,CUS00086,41,Male,Abuja,Mobile,Bank transfer,Fashion,107936.02,11,9812.37,45,0,1,2.9,2,0,2.1,No,1.45,6.09
86,CUS00087,43,Female,Imo,Mobile,Debit card,Auto,48352.08,3,16117.36,15,0,1,1.5,4,0,2.1,No,0.375,3.15
87,CUS00088,42,Female,Bauchi,Phone,Bank transfer,Home,152537.94,8,19067.24,26,0,3,1.4,3,0,1.0,No,0.467,1.4
88,CUS00089,62,Female,Borno,Mobile,Bank transfer,Beauty,145876.02,9,16208.45,1,0,2,4.8,3,0,1.8,No,1.6,8.64
89,CUS00090,58,Male,Lagos,Mobile,Bank transfer,Home,64004.17,1,64004.17,105,0,2,3.5,6,1,1.7,Yes,0.583,5.95
90,CUS00091,46,Male,Bauchi,Tablet,Debit card,Food,56709.84,11,5155.44,70,0,5,3.7,2,1,2.0,No,1.85,7.4
91,CUS00092,32,Male,Lagos,Mobile,Debit card,Electronics,500.0,14,35.71,20,3,6,1.7,5,1,3.4,Yes,0.212,5.78
92,CUS00093,62,Female,Delta,Tablet,Debit card,Home,18328.87,7,2618.41,36,0,0,2.7,2,0,4.6,No,1.35,12.42
93,CUS00094,18,Female,Delta,Desktop,Debit card,Beauty,24723.86,14,1765.99,25,1,3,3.2,4,2,0.7,Yes,0.64,2.24
94,CUS00095,42,Male,Abuja,Mobile,Debit card,Sports,91083.57,7,13011.94,91,1,1,3.7,1,0,1.4,Yes,1.85,5.18
95,CUS00096,24,Female,Kaduna,Tablet,USSD,Fashion,70319.48,12,5859.96,2,0,2,3.1,2,0,0.8,No,1.55,2.48
96,CUS00097,26,Female,Kaduna,Pc,Bank transfer,Fashion,24459.9,1,24459.9,48,2,3,2.5,3,0,2.3,No,0.5,5.75
97,CUS00098,41,Male,Lagos,Mobile,Debit card,Beauty,72347.62,20,3617.38,41,0,2,2.7,4,3,1.2,Yes,0.675,3.24
98,CUS00099,18,Female,Enugu,Mobile,Bank transfer,Electronics,107740.17,15,7182.68,69,0,3,4.7,4,0,2.4,No,1.175,11.28
99,CUS00100,61,Female,Anambra,Mobile,Bank transfer,Food,108752.77,6,18125.46,41,1,4,3.7,7,0,3.7,Yes,0.462,13.69
100,CUS00101,25,Male,Abuja,Mobile,Debit card,Books,500.0,1,500.0,1,0,3,4.1,4,0,0.0,No,1.025,0.0
101,CUS00102,41,Female,Anambra,Pc,Debit card,Books,79228.14,9,8803.13,37,0,1,2.6,3,0,2.7,No,0.867,7.02
102,CUS00103,28,Male,Bauchi,Tablet,Debit card,Food,22749.67,1,22749.67,15,2,1,1.0,7,0,1.3,Yes,0.111,1.3
103,CUS00104,34,Female,Kaduna,Tablet,Debit card,Electronics,125577.79,10,12557.78,47,0,0,5.0,4,1,2.7,No,1.25,13.5
104,CUS00105,25,Female,Oyo,Tablet,USSD,Fashion,120286.59,10,12028.66,88,2,1,2.6,2,2,2.1,Yes,0.65,5.46
105,CUS00106,52,Female,Borno,Mobile,Bank transfer,Food,44588.77,3,14862.92,1,2,6,3.8,4,1,3.8,No,0.633,14.44
106,CUS00107,52,Female,Bauchi,Tablet,Bank transfer,Electronics,50527.97,13,3886.77,20,0,1,5.0,3,0,3.4,No,1.667,17.0
107,CUS00108,50,Female,Borno,Desktop,POS,Electronics,64242.98,12,5353.58,28,2,0,4.2,1,0,2.9,No,1.4,12.18
108,CUS00109,22,Female,Imo,Mobile,Bank transfer,Home,500.0,12,41.67,33,0,3,5.0,5,0,3.2,No,1.0,16.0
109,CUS00110,59,Male,Bauchi,Laptop,Debit card,Electronics,100118.57,8,12514.82,67,4,2,4.1,6,1,0.9,Yes,0.41,3.69
110,CUS00111,56,Male,Lagos,Tablet,Bank transfer,Electronics,72722.0,1,72722.0,39,0,2,2.9,7,2,1.1,No,0.414,3.19
111,CUS00112,58,Female,Imo,Desktop,Bank transfer,Electronics,128657.88,12,10721.49,57,2,5,3.8,4,0,2.1,Yes,0.633,7.98
112,CUS00113,89,Female,Kano,Mobile,POS,Fashion,35571.59,6,5928.6,26,2,4,5.0,3,0,0.8,No,1.0,4.0
113,CUS00114,24,Male,Bauchi,Mobile,Debit card,Fashion,57139.47,1,57139.47,51,1,1,5.0,6,2,4.2,No,0.714,21.0
114,CUS00115,26,Male,Imo,Mobile,Bank transfer,Fashion,17206.36,14,1229.03,68,0,2,2.9,5,1,1.5,Yes,0.58,4.35
115,CUS00116,25,Male,Abuja,Mobile,Bank transfer,Food,39806.92,18,2211.5,23,0,1,3.8,7,1,2.8,No,0.543,10.64
116,CUS00117,29,Male,Borno,Desktop,Bank transfer,Fashion,31810.81,7,4544.4,68,0,4,2.1,3,2,5.1,Yes,0.7,10.71
117,CUS00118,51,Female,Rivers,Mobile,Debit card,Fashion,129818.82,18,7212.16,46,1,2,4.3,3,1,0.9,No,1.075,3.87
118,CUS00119,43,Female,Rivers,Mobile,Cash,Electronics,53578.22,8,6697.28,76,1,0,5.0,2,0,2.1,No,1.667,10.5
119,CUS00120,89,Male,Abuja,Pc,Bank transfer,Fashion,90587.91,6,15097.98,38,1,2,3.5,5,1,3.6,Yes,0.583,12.6
120,CUS00121,41,Female,Kano,Mobile,Bank transfer,Beauty,67865.65,4,16966.41,56,0,0,2.8,1,0,3.4,No,2.8,9.52
121,CUS00122,54,Male,Kano,Mobile,Debit card,Food,27874.06,16,1742.13,43,0,7,3.9,5,1,1.5,No,0.78,5.85
122,CUS00123,52,Male,Lagos,Mobile,Bank transfer,Fashion,77426.48,4,19356.62,42,0,1,5.0,5,0,1.2,No,1.0,6.0
123,CUS00124,61,Female,Kaduna,Mobile,Cash,Home,111959.65,11,10178.15,52,1,2,3.6,5,0,1.7,No,0.6,6.12
124,CUS00125,57,Male,Anambra,Mobile,Debit card,Electronics,30650.83,5,6130.17,61,1,3,3.7,4,0,4.2,No,0.74,15.54
125,CUS00126,39,Male,Borno,Desktop,Bank transfer,Books,121410.08,5,24282.02,7,0,2,3.3,7,0,1.6,Yes,0.471,5.28
126,CUS00127,44,Female,Kano,Mobile,Bank transfer,Fashion,46762.56,13,3597.12,88,1,2,4.5,5,0,2.1,No,0.75,9.45
127,CUS00128,52,Female,Oyo,Mobile,Debit card,Home,63265.72,6,10544.29,1,0,3,4.2,2,2,1.4,No,2.1,5.88
128,CUS00129,18,Female,Lagos,Mobile,Bank transfer,Fashion,108880.74,5,21776.15,24,1,6,2.5,2,0,3.1,Yes,0.833,7.75
129,CUS00130,52,Male,Delta,Desktop,Debit card,Electronics,55145.37,13,4241.95,42,1,4,2.5,2,1,2.2,Yes,0.833,5.5
130,CUS00131,54,Male,Enugu,Mobile,USSD,Fashion,86690.87,15,5779.39,57,1,5,3.2,5,0,0.5,Yes,0.533,1.6
131,CUS00132,64,Female,Delta,Mobile,Debit card,Auto,70838.91,11,6439.9,92,0,0,4.2,1,0,0.5,No,4.2,2.1
132,CUS00133,31,Female,Lagos,Desktop,Debit card,Fashion,90821.56,4,22705.39,1,3,3,3.6,6,1,0.0,Yes,0.4,0.0
133,CUS00134,20,Male,Borno,Mobile,Debit card,Electronics,500.0,5,100.0,29,1,3,2.9,6,0,0.8,No,0.414,2.32
134,CUS00135,18,Female,Imo,Mobile,USSD,Electronics,2664.32,8,333.04,1,0,3,3.8,2,0,3.2,No,1.9,12.16
135,CUS00136,22,Male,Bauchi,Mobile,Bank transfer,Electronics,112718.52,9,12524.28,45,1,5,3.2,3,1,4.0,Yes,0.8,12.8
136,CUS00137,43,Male,Anambra,Mobile,POS,Sports,131673.16,3,43891.05,53,2,2,4.4,4,2,3.0,No,0.733,13.2
137,CUS00138,31,Male,Enugu,Desktop,Debit card,Fashion,44028.1,11,4002.55,92,0,2,3.8,5,0,2.8,No,0.76,10.64
138,CUS00139,56,Female,Delta,Mobile,Debit card,Beauty,74018.72,8,9252.34,48,2,4,3.2,7,0,1.8,Yes,0.356,5.76
139,CUS00140,44,Male,Enugu,Desktop,POS,Beauty,98262.37,1,98262.37,76,1,0,3.7,1,1,3.2,No,1.85,11.84
140,CUS00141,26,Male,Oyo,Tablet,USSD,Home,116194.79,3,38731.6,62,0,2,4.8,3,1,2.4,No,1.6,11.52
141,CUS00142,32,Male,Oyo,Mobile,Bank transfer,Fashion,500.0,5,100.0,31,1,2,2.9,3,1,4.7,Yes,0.725,13.63
142,CUS00143,32,Female,Imo,Tablet,Debit card,Electronics,217428.06,7,31061.15,2,0,1,3.9,1,0,1.9,No,3.9,7.41
143,CUS00144,43,Male,Oyo,Mobile,Bank transfer,Fashion,70033.93,17,4119.64,53,1,5,3.4,3,0,4.0,Yes,0.85,13.6
144,CUS00145,59,Female,Lagos,Desktop,Debit card,Home,116641.31,9,12960.15,1,2,0,3.9,4,0,3.3,No,0.65,12.87
145,CUS00146,30,Female,Anambra,Mobile,Bank transfer,Electronics,197429.37,3,65809.79,83,1,2,2.8,3,1,3.1,Yes,0.7,8.68
146,CUS00147,49,Male,Borno,Pc,Bank transfer,Food,74739.74,9,8304.42,40,3,3,3.6,1,1,0.0,No,0.9,0.0
147,CUS00148,56,Female,Imo,Desktop,USSD,Food,217428.06,6,36238.01,80,0,5,4.6,10,1,3.4,No,0.46,15.64
148,CUS00149,49,Male,Lagos,Mobile,Bank transfer,Beauty,103102.06,9,11455.78,30,1,2,2.6,4,1,1.8,Yes,0.52,4.68
149,CUS00150,21,Male,Rivers,Mobile,Bank transfer,Electronics,144444.81,10,14444.48,53,2,4,2.2,4,0,1.3,Yes,0.367,2.86
150,CUS00151,47,Female,Bauchi,Mobile,Bank transfer,Books,89860.64,14,6418.62,51,0,4,2.2,1,2,0.0,Yes,2.2,0.0
151,CUS00152,54,Female,Bauchi,Mobile,USSD,Fashion,44200.82,7,6314.4,43,2,3,2.3,4,2,2.0,Yes,0.383,4.6
152,CUS00153,40,Male,Oyo,Tablet,Debit card,Home,128109.73,16,8006.86,32,0,0,4.1,3,0,2.1,No,1.367,8.61
153,CUS00154,56,Male,Rivers,Mobile,POS,Auto,114859.55,12,9571.63,56,0,0,2.1,1,1,0.0,Yes,2.1,0.0
154,CUS00155,62,Male,Kano,Desktop,Bank transfer,Beauty,38826.36,4,9706.59,17,0,3,3.2,1,0,0.0,No,3.2,0.0
155,CUS00156,32,Female,Kano,Mobile,Debit card,Home,102164.15,19,5377.06,8,1,1,4.1,5,1,2.7,No,0.683,11.07
156,CUS00157,60,Female,Borno,Laptop,USSD,Home,129876.95,9,14430.77,82,1,4,3.9,7,2,3.3,Yes,0.488,12.87
157,CUS00158,46,Male,Oyo,Desktop,Debit card,Food,138185.05,3,46061.68,66,2,4,3.1,4,3,2.3,Yes,0.517,7.13
158,CUS00159,53,Male,Delta,Pc,USSD,Auto,82009.8,16,5125.61,46,2,2,3.7,6,1,3.7,Yes,0.462,13.69
159,CUS00160,30,Male,Lagos,Mobile,Bank transfer,Fashion,68886.42,18,3827.02,94,0,0,3.6,3,1,1.9,No,1.2,6.84
160,CUS00161,49,Female,Oyo,Mobile,Bank transfer,Beauty,140227.32,7,20032.47,36,0,4,3.3,3,0,1.9,No,1.1,6.27
161,CUS00162,24,Female,Kaduna,Desktop,Bank transfer,Home,30542.78,5,6108.56,84,1,0,3.3,6,1,0.6,Yes,0.471,1.98
162,CUS00163,39,Male,Enugu,Desktop,Bank transfer,Food,88686.96,7,12669.57,50,2,1,5.0,7,2,0.0,No,0.556,0.0
163,CUS00164,45,Male,Borno,Mobile,USSD,Fashion,23348.8,11,2122.62,14,2,1,4.3,6,0,4.8,No,0.538,20.64
164,CUS00165,19,Female,Bauchi,Pc,Debit card,Food,132941.93,14,9495.85,100,2,2,5.0,1,0,3.7,No,1.667,18.5
165,CUS00166,43,Male,Kano,Phone,USSD,Auto,73387.95,10,7338.8,74,0,5,3.0,3,0,0.0,No,1.0,0.0
166,CUS00167,62,Female,Abuja,Desktop,Bank transfer,Fashion,142086.25,8,17760.78,41,0,2,3.4,4,1,2.2,No,0.85,7.48
167,CUS00168,23,Male,Kano,Mobile,USSD,Beauty,107113.57,15,7140.9,66,0,2,2.2,3,1,1.8,Yes,0.733,3.96
168,CUS00169,45,Male,Borno,Mobile,Bank transfer,Home,29955.09,6,4992.52,32,0,0,2.7,4,0,1.6,No,0.675,4.32
169,CUS00170,45,Male,Bauchi,Laptop,Bank transfer,Fashion,149108.25,13,11469.87,69,0,4,5.0,5,2,1.4,Yes,1.0,7.0
170,CUS00171,61,Male,Borno,Mobile,Bank transfer,Electronics,80315.08,6,13385.85,1,1,1,3.0,6,0,2.6,Yes,0.429,7.8
171,CUS00172,61,Male,Enugu,Desktop,Bank transfer,Fashion,124702.89,10,12470.29,14,0,3,5.0,7,0,3.2,No,0.714,16.0
172,CUS00173,37,Female,Bauchi,Desktop,Bank transfer,Home,50728.55,7,7246.94,74,0,2,2.3,3,0,2.6,No,0.767,5.98
173,CUS00174,47,Female,Abuja,Mobile,Debit card,Auto,71229.37,7,10175.62,37,0,4,2.4,1,0,1.8,No,2.4,4.32
174,CUS00175,28,Male,Oyo,Laptop,USSD,Electronics,91544.22,6,15257.37,51,2,2,3.2,4,1,1.8,Yes,0.533,5.76
175,CUS00176,45,Female,Rivers,Desktop,Bank transfer,Food,53333.03,14,3809.5,4,1,2,5.0,7,2,3.4,Yes,0.625,17.0
176,CUS00177,42,Male,Abuja,Desktop,USSD,Electronics,161155.6,4,40288.9,100,0,3,4.4,3,0,2.7,No,1.467,11.88
177,CUS00178,56,Female,Bauchi,Mobile,USSD,Food,91494.69,4,22873.67,80,0,7,4.0,5,1,2.1,No,0.8,8.4
178,CUS00179,50,Female,Bauchi,Desktop,Bank transfer,Fashion,500.0,18,27.78,38,0,4,3.1,5,1,1.9,No,0.62,5.89
179,CUS00180,18,Male,Kaduna,Mobile,Debit card,Fashion,100271.01,12,8355.92,32,2,2,3.4,4,1,2.5,Yes,0.567,8.5
180,CUS00181,44,Female,Imo,Desktop,Bank transfer,Books,69332.92,1,69332.92,75,1,3,3.2,4,1,1.3,Yes,0.64,4.16
181,CUS00182,30,Female,Kaduna,Mobile,Cash,Electronics,81628.3,5,16325.66,104,0,1,2.6,2,1,3.2,Yes,1.3,8.32
182,CUS00183,58,Male,Anambra,Pc,Bank transfer,Auto,68412.13,1,68412.13,73,2,1,2.6,1,1,0.4,Yes,0.867,1.04
183,CUS00184,20,Female,Kaduna,Mobile,USSD,Food,121317.09,3,40439.03,110,2,1,4.5,1,1,1.4,No,1.5,6.3
184,CUS00185,56,Male,Lagos,Desktop,USSD,Beauty,135385.95,1,135385.95,17,1,1,1.7,3,0,2.9,No,0.425,4.93
185,CUS00186,23,Female,Rivers,Pc,Debit card,Electronics,97737.39,7,13962.48,20,3,4,5.0,6,1,0.3,Yes,0.556,1.5
186,CUS00187,25,Female,Enugu,Mobile,Debit card,Fashion,69731.0,2,34865.5,9,1,0,3.2,4,0,0.0,Yes,0.64,0.0
